,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
923,1,1,1,1,1,1,1,1,0,0,0,0,0,0,61,253,43,94,54,391,230,59,0,0,0,0,0,0,-24.012182391984624,-68.90680414156428,-21.786613992953164,-49.70739206514557,-28.92072363423919,-190.15829064071053,-100.84014351146644,-34.84560888396659,0.0,0.0,0.0,0.0,0.0,0.0
924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,213,41,106,51,95,236,67,316,277,259,104,207,252,-23.666446816371696,-65.67750976377654,-21.85126634101617,-58.19922252280441,-26.625581875182935,-61.0749796462206,-110.58709454115802,-36.53634592940339,-141.57422239204095,-109.88648225456994,-115.01264815609667,-63.292697481386746,-109.59632192556087,-173.90252138109616
925,1,1,1,1,1,1,1,1,1,1,1,1,0,0,54,162,46,96,56,685,280,75,678,690,212,197,0,0,-21.857200561235324,-64.03859249469599,-21.593134733693923,-50.18722687803881,-29.20234640570691,-287.72483281418135,-141.74218263305573,-45.57678614937861,-486.3012828335555,-230.38836699982838,-114.94661166703837,-102.74952254490829,0.0,0.0
926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,183,0,0,0,0,0,0,0,0,0,0,0,0,-23.403907488539392,-82.4157949497293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,1,1,1,1,0,0,0,0,0,0,0,0,0,0,53,142,106,94,0,0,0,0,0,0,0,0,0,0,-21.721195820478705,-53.65821040638411,-54.87058615638354,-49.987090093785675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,1,1,1,1,1,0,0,0,0,0,0,0,0,0,52,155,46,353,44,0,0,0,0,0,0,0,0,0,-22.106581246007597,-58.39373336578099,-24.06082563282263,-133.2765247933986,-22.258061042574322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
929,1,1,1,1,1,1,1,1,0,0,0,0,0,0,48,141,60,100,119,100,45,122,0,0,0,0,0,0,-20.57419972734102,-63.98082819993255,-38.01109337992632,-57.73403507596287,-57.02415037915926,-57.27494426477105,-33.12586887674757,-83.8160001644948,0.0,0.0,0.0,0.0,0.0,0.0
930,1,1,1,1,1,1,1,1,0,0,0,0,0,0,54,346,38,112,458,145,394,74,0,0,0,0,0,0,-21.974165987080706,-108.70858924968184,-20.098786681661302,-57.795072286475644,-173.98325934624532,-48.48160547120641,-187.20770397048295,-46.48024432962552,0.0,0.0,0.0,0.0,0.0,0.0
931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.33147342410366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
